distance_from_peak_center_bp	distance_from_peak_center_mb	methylation_H3K27ac_peaks	support_H3K27ac_peaks	bootstrap_mean	bootstrap_std
-475700	-0.4757	0.7234321667642222	35	0.7484303636323106	0.0464947820714294
-475600	-0.4756	0.7818794853750908	33	0.7141136998582474	0.08918837172541053
-475500	-0.4755	0.7075219463625166	33	0.6747552777574946	0.04600655104844145
-475400	-0.4754	0.7631885056247086	35	0.6530150862617821	0.06917084750286387
-475300	-0.4753	0.7179220881565013	30	0.6243468622143373	0.0598673314073537
-475200	-0.4752	0.7141721822068153	31	0.6915491406640061	0.08084000643228074
-475100	-0.4751	0.7541743021182535	31	0.6735285565461737	0.055440138163432996
-475000	-0.475	0.7641058655789914	33	0.7148684340901932	0.04347184658125218
-474900	-0.4749	0.763966394494834	30	0.6816941267970669	0.02685768962449192
-474800	-0.4748	0.7624337249678569	31	0.7062531755689525	0.03354473958291837
-474700	-0.4747	0.7899127142457073	31	0.6996580173123721	0.07858486520219886
-474600	-0.4746	0.8148025756713924	29	0.7350157126228087	0.079268384126929
-474500	-0.4745	0.7409893848535137	32	0.7466363719671245	0.051521764949749985
-474400	-0.4744	0.795268288545526	33	0.7812289351505718	0.03224849171280228
-474300	-0.4743	0.7995957072985413	32	0.7863045752793255	0.08219725714620418
-474200	-0.4742	0.812476509422969	36	0.6899811354555393	0.04149613378267839
-474100	-0.4741	0.8241471241560344	30	0.7478653014044527	0.02420830235568624
-474000	-0.474	0.8244312211510281	32	0.6464823515703131	0.07908776578057285
-473900	-0.4739	0.7372080696632488	31	0.7087240469835671	0.10527807965141069
-473800	-0.4738	0.7730402041566512	38	0.7245988950768822	0.06690231153832661
-473700	-0.4737	0.8098763877058022	32	0.6701794846951035	0.13768345715024247
-473600	-0.4736	0.7878792968217024	31	0.6729506633193483	0.09413681592911696
-473500	-0.4735	0.8122489105562609	31	0.6978385271158183	0.051726620921439294
-473400	-0.4734	0.7953993536771463	23	0.7036478328003606	0.09985288197506642
-473300	-0.4733	0.7963291390464782	29	0.6615099928476161	0.02647870441192532
-473200	-0.4732	0.8033659300889673	28	0.720722803477861	0.044115488893919814
-473100	-0.4731	0.8021330236579233	33	0.6684540942221846	0.11721961033095242
-473000	-0.473	0.7858748253136231	33	0.6935078039647519	0.03433456792032498
-472900	-0.4729	0.7773721431075563	34	0.6794859356089186	0.030223882681265146
-472800	-0.4728	0.7900509082825584	32	0.6899047132886811	0.05902428985527953
-472700	-0.4727	0.8020689455900544	32	0.7233864879538621	0.032142975607189844
-472600	-0.4726	0.7470827396328109	30	0.697520122023875	0.06803203532972388
-472500	-0.4725	0.7638554630787029	34	0.6750552261989671	0.018282971316548602
-472400	-0.4724	0.8287165337146569	31	0.712414455041822	0.06841187906844703
-472300	-0.4723	0.7347085174546502	29	0.7347012061418141	0.02349087377068081
-472200	-0.4722	0.8037108701139856	33	0.6892563967252201	0.061518450576244804
-472100	-0.4721	0.8268537408746776	32	0.7157748786986742	0.04864915298147503
-472000	-0.472	0.7897943027564177	32	0.7047884855164203	0.07458037869590577
-471900	-0.4719	0.8278079461917828	33	0.7329516439212254	0.06177010842854045
-471800	-0.4718	0.7874679585744718	33	0.6521493378724135	0.11315738315965365
-471700	-0.4717	0.7138810286878974	33	0.7217154697738541	0.031182312170597533
-471600	-0.4716	0.8306616907089904	27	0.6962233396127943	0.06946353962058305
-471500	-0.4715	0.7455216671751861	26	0.7479169696026732	0.05098567640997164
-471400	-0.4714	0.7308601641586785	29	0.7384255972135413	0.07375707283001187
-471300	-0.4713	0.7662723269636548	34	0.6861368644698145	0.05067260066434632
-471200	-0.4712	0.79240362997607	35	0.6879155665871864	0.06166514463174997
-471100	-0.4711	0.8533742621918279	31	0.7188062482113571	0.06226896547038695
-471000	-0.471	0.8070402313105758	34	0.7366510366301238	0.034287197243323124
